file_name,text,language,emotion,duration_seconds,speaker_id
audio/en_v3_001.wav,"Today we'll discuss about how to connect Cloud AI desktop to Power BI desktop using MCP server integration. I already created three videos on this particular topic, so how we can perform different Power BI tasks.",en-IN,neutral,11.46,en_spk3
audio/en_v3_002.wav,So multiple people requested to create a video how to do this integration so they can also try on their system. So this video is created for that purpose so everyone can have this setup install on their system and they can try this Cloud AI desktop.,en-IN,neutral,13.74,en_spk3
audio/en_v3_003.wav,"So once you have installed, you need to just set up your account like your username, password, etcetera, okay, details, all the things. So this interface will be there after setting up your account, okay.",en-IN,neutral,9.8,en_spk3
audio/en_v3_004.wav,"it will navigate to this particular directory, okay? So here you can see analysis service power bay modeling MCP server. So whatever extension we have installed in VS code, that extension source files are this, okay? So I will just open this.",en-IN,neutral,12.76,en_spk3
audio/en_v3_005.wav,Notepad Okay so this is my file. Here you need to paste that copied path okay. So here source file that path we need to paste here okay.,en-IN,neutral,8.48,en_spk3
audio/en_v3_006.wav,"And then developer, you will see that Power BI modeling MCP server is running, okay? And this is the path for that particular file, okay? So once you see this running, then you can see that",en-IN,neutral,11.03,en_spk3
audio/en_v3_007.wav,"Create a model. So we have demo project that contains five different tables, one fact table and four dimension table.",en-IN,neutral,8.12,en_spk3
audio/en_v3_008.wav,"So it has connected, okay. You can see Power BI model, the demo MCB. This is our file name if you go to the Power BI demo MCB.",en-IN,neutral,8.15,en_spk3
audio/en_v3_009.wav,"Do the data profiling, okay? There are different tasks I have explained in detail in those three videos, okay? So here we'll just have one or two operations so you can.",en-IN,neutral,8.74,en_spk3
audio/en_v3_010.wav,So it will again scan our entire data model. It will analyze what are the different numerical fields in our fact table. Based on that it will create all the possible measure for our data model.,en-IN,neutral,11.94,en_spk3
audio/en_v3_011.wav,"and it will organize that into different table, within that table it will create a folder for each particular categories of major like aggregated measures, then your ranking measures, time intelligence measure, date and time.",en-IN,neutral,13.08,en_spk3
audio/en_v3_012.wav,"Then store analysis it has created, okay. Order per store, sales by region, sales per store, total store etcetera, okay.",en-IN,neutral,8.14,en_spk3
audio/en_v3_013.wav,"Like it will show the summary, okay, whatever it has did with our model, okay? Then product analysis, seven major store analysis, analysis six major employee analysis.",en-IN,neutral,10.71,en_spk3
audio/en_v3_014.wav,"Analytics it is six major shipping analytics, six major ranking target etcetera. It has created seven major for that okay and all are created within a week.",en-IN,neutral,8.43,en_spk3
audio/en_v3_015.wav,"related to data cleaning, transformation, etcetera, okay? 
So that's it for this video. 
If you like the content, do not forget to subscribe. 
Thanks for watching. 
If you need this document, just comment document in comment section. 
I will share the link to access this document, so you can have this setup installed in your system.",en-IN,neutral,18.31,en_spk3
audio/en_v4_001.wav,"So guys, today in this particular video, we are going to go ahead and see the entire road map to learn AI in 2025.",en-IN,neutral,8.58,en_spk4
audio/en_v4_002.wav,"Everybody should at least have the idea about generative AI application, generative agent AI applications, how you should go ahead and build.",en-IN,neutral,8.38,en_spk4
audio/en_v4_003.wav,"Whether you're coming from a developer background, whether you are program managers, whether you are in the leadership position, everybody should know this.",en-IN,formal,8.62,en_spk4
audio/en_v4_004.wav,"Many companies, more than 80 percentage of companies, more than 70 percentage of companies are working on different different kind of generative AI applications, they're building rag applications.",en-IN,neutral,9.81,en_spk4
audio/en_v4_005.wav,"There was also a question like, Krish, I am 10 plus years of experience. I'm not that interested in coding, but definitely I want to get into AI.",en-IN,neutral,8.08,en_spk4
audio/en_v4_006.wav,"This video will be a little bit longer because here I've created a very efficient road map. Within 8 months of time frame, you should be able to complete this.",en-IN,neutral,10.05,en_spk4
audio/en_v4_007.wav,"Other than this, just follow this particular road map. I have provided free videos, resources, just go ahead and watch it. You will definitely be able to do amazing things over here.",en-IN,happy,10.11,en_spk4
